Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,24,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,64,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,93,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,86,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,276,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,40,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,87,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,139,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,158,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,151,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,587,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory failure,J96,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory failure,J96,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory failure,J96,35-44,14,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory failure,J96,45-54,33,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory failure,J96,55-64,80,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory failure,J96,65-74,161,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory failure,J96,75-84,242,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory failure,J96,85+,303,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory failure,J96,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory failure,J96,All Ages,838,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory arrest,R09.2,0-24,0,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory arrest,R09.2,25-34,0,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory arrest,R09.2,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory arrest,R09.2,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory arrest,R09.2,55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory arrest,R09.2,65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory arrest,R09.2,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory arrest,R09.2,85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Respiratory arrest,R09.2,All Ages,19,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,0,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,19,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,29,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,34,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,37,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,128,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,18,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,35,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,84,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,125,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Hypertensive diseases,I10-I15,85+,188,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,455,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,19,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,40,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,71,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Ischemic heart disease,I20-I25,85+,101,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,235,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrest,I46,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrest,I46,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrest,I46,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrest,I46,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrest,I46,55-64,11,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrest,I46,65-74,26,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrest,I46,75-84,21,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrest,I46,85+,31,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrest,I46,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrest,I46,All Ages,104,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,11,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,34,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,63,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,97,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,215,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Heart failure,I50,0-24,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Heart failure,I50,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Heart failure,I50,35-44,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Heart failure,I50,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Heart failure,I50,55-64,11,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Heart failure,I50,65-74,22,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Heart failure,I50,75-84,55,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Heart failure,I50,85+,109,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Heart failure,I50,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Heart failure,I50,All Ages,207,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,18,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,39,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,37,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,60,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,165,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,19,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,28,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,39,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,55,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,79,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,227,
11/15/2020,02/01/2020,11/14/2020,CO,Sepsis,Sepsis,A40-A41,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Sepsis,Sepsis,A40-A41,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Sepsis,Sepsis,A40-A41,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Sepsis,Sepsis,A40-A41,45-54,11,
11/15/2020,02/01/2020,11/14/2020,CO,Sepsis,Sepsis,A40-A41,55-64,35,
11/15/2020,02/01/2020,11/14/2020,CO,Sepsis,Sepsis,A40-A41,65-74,35,
11/15/2020,02/01/2020,11/14/2020,CO,Sepsis,Sepsis,A40-A41,75-84,53,
11/15/2020,02/01/2020,11/14/2020,CO,Sepsis,Sepsis,A40-A41,85+,44,
11/15/2020,02/01/2020,11/14/2020,CO,Sepsis,Sepsis,A40-A41,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Sepsis,Sepsis,A40-A41,All Ages,186,
11/15/2020,02/01/2020,11/14/2020,CO,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,0,
11/15/2020,02/01/2020,11/14/2020,CO,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,0,
11/15/2020,02/01/2020,11/14/2020,CO,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,23,
11/15/2020,02/01/2020,11/14/2020,CO,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,37,
11/15/2020,02/01/2020,11/14/2020,CO,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,41,
11/15/2020,02/01/2020,11/14/2020,CO,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,114,
11/15/2020,02/01/2020,11/14/2020,CO,Diabetes,Diabetes,E10-E14,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Diabetes,Diabetes,E10-E14,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Diabetes,Diabetes,E10-E14,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Diabetes,Diabetes,E10-E14,45-54,31,
11/15/2020,02/01/2020,11/14/2020,CO,Diabetes,Diabetes,E10-E14,55-64,40,
11/15/2020,02/01/2020,11/14/2020,CO,Diabetes,Diabetes,E10-E14,65-74,86,
11/15/2020,02/01/2020,11/14/2020,CO,Diabetes,Diabetes,E10-E14,75-84,83,
11/15/2020,02/01/2020,11/14/2020,CO,Diabetes,Diabetes,E10-E14,85+,89,
11/15/2020,02/01/2020,11/14/2020,CO,Diabetes,Diabetes,E10-E14,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Diabetes,Diabetes,E10-E14,All Ages,341,
11/15/2020,02/01/2020,11/14/2020,CO,Obesity,Obesity,E65-E68,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Obesity,Obesity,E65-E68,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Obesity,Obesity,E65-E68,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Obesity,Obesity,E65-E68,45-54,23,
11/15/2020,02/01/2020,11/14/2020,CO,Obesity,Obesity,E65-E68,55-64,21,
11/15/2020,02/01/2020,11/14/2020,CO,Obesity,Obesity,E65-E68,65-74,31,
11/15/2020,02/01/2020,11/14/2020,CO,Obesity,Obesity,E65-E68,75-84,10,
11/15/2020,02/01/2020,11/14/2020,CO,Obesity,Obesity,E65-E68,85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Obesity,Obesity,E65-E68,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Obesity,Obesity,E65-E68,All Ages,101,
11/15/2020,02/01/2020,11/14/2020,CO,Alzheimer disease,Alzheimer disease,G30,0-24,0,
11/15/2020,02/01/2020,11/14/2020,CO,Alzheimer disease,Alzheimer disease,G30,25-34,0,
11/15/2020,02/01/2020,11/14/2020,CO,Alzheimer disease,Alzheimer disease,G30,35-44,0,
11/15/2020,02/01/2020,11/14/2020,CO,Alzheimer disease,Alzheimer disease,G30,45-54,0,
11/15/2020,02/01/2020,11/14/2020,CO,Alzheimer disease,Alzheimer disease,G30,55-64,0,
11/15/2020,02/01/2020,11/14/2020,CO,Alzheimer disease,Alzheimer disease,G30,65-74,10,
11/15/2020,02/01/2020,11/14/2020,CO,Alzheimer disease,Alzheimer disease,G30,75-84,52,
11/15/2020,02/01/2020,11/14/2020,CO,Alzheimer disease,Alzheimer disease,G30,85+,98,
11/15/2020,02/01/2020,11/14/2020,CO,Alzheimer disease,Alzheimer disease,G30,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Alzheimer disease,Alzheimer disease,G30,All Ages,160,
11/15/2020,02/01/2020,11/14/2020,CO,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,
11/15/2020,02/01/2020,11/14/2020,CO,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0,
11/15/2020,02/01/2020,11/14/2020,CO,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,0,
11/15/2020,02/01/2020,11/14/2020,CO,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,0,
11/15/2020,02/01/2020,11/14/2020,CO,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,47,
11/15/2020,02/01/2020,11/14/2020,CO,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,118,
11/15/2020,02/01/2020,11/14/2020,CO,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,245,
11/15/2020,02/01/2020,11/14/2020,CO,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,415,
11/15/2020,02/01/2020,11/14/2020,CO,Renal failure,Renal failure,N17-N19,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Renal failure,Renal failure,N17-N19,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Renal failure,Renal failure,N17-N19,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,Renal failure,Renal failure,N17-N19,45-54,25,
11/15/2020,02/01/2020,11/14/2020,CO,Renal failure,Renal failure,N17-N19,55-64,30,
11/15/2020,02/01/2020,11/14/2020,CO,Renal failure,Renal failure,N17-N19,65-74,45,
11/15/2020,02/01/2020,11/14/2020,CO,Renal failure,Renal failure,N17-N19,75-84,58,
11/15/2020,02/01/2020,11/14/2020,CO,Renal failure,Renal failure,N17-N19,85+,93,
11/15/2020,02/01/2020,11/14/2020,CO,Renal failure,Renal failure,N17-N19,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,Renal failure,Renal failure,N17-N19,All Ages,257,
11/15/2020,02/01/2020,11/14/2020,CO,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,0,
11/15/2020,02/01/2020,11/14/2020,CO,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/15/2020,02/01/2020,11/14/2020,CO,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,14,
11/15/2020,02/01/2020,11/14/2020,CO,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,17,
11/15/2020,02/01/2020,11/14/2020,CO,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,27,
11/15/2020,02/01/2020,11/14/2020,CO,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,37,
11/15/2020,02/01/2020,11/14/2020,CO,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,50,
11/15/2020,02/01/2020,11/14/2020,CO,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0,
11/15/2020,02/01/2020,11/14/2020,CO,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,151,
